DATE,min,max
2020/12/14,11.713004,29.048212
2020/12/15,9.452051,21.970919
2020/12/16,14.357496,25.903522
2020/12/17,8.230684,16.627817
2020/12/18,6.3465447,15.324308
2020/12/19,5.7338862,12.315342
2020/12/20,6.2966194,11.499043
2020/12/21,0.903937,9.530659
2020/12/22,-1.4745646,13.060182
2020/12/23,-1.3760955,10.939157
2020/12/24,-5.80457,7.1939898
2020/12/25,-0.8033577,12.067299
2020/12/26,1.1910098,13.493795
2020/12/27,5.5402336,20.030642
2020/12/28,4.3321733,26.230791
2020/12/29,8.142178,24.494484
2020/12/30,5.798851,24.991297
2020/12/31,9.403397,24.528921
